,0
0,0.125
1,6.765625
2,3.828125
3,61.65625
4,15.765625
5,8.40625
6,5.125
7,21.640625
8,25.390625
9,2.78125
10,14.515625
11,12.0625
12,1.328125
13,6.953125
14,108.265625
15,9.90625
16,7.515625
17,4.515625
18,32.640625
19,0.140625
20,50.515625
21,0.953125
22,5.0625
23,1.328125
24,0.390625
25,3.65625
26,11.40625
27,26.703125
28,0.3125
29,4.90625
30,1.015625
31,66.125
32,133.515625
33,2.390625
34,54.390625
35,10.578125
36,8.65625
37,26.40625
38,21.8125
39,0.40625
40,0.125
41,14.453125
42,1.015625
43,8.453125
44,2.28125
45,1.8125
46,7.515625
47,20.140625
48,0.625
49,2.5
50,36.140625
51,35.078125
52,0.265625
53,0.625
54,6.40625
55,7.0625
56,30.0625
57,16.140625
58,0.265625
59,0.53125
60,57.078125
61,48.03125
62,10.5625
63,2.453125
64,8.40625
65,21.8125
66,1.015625
67,5.890625
68,86.640625
69,7.53125
70,7.65625
71,6.890625
72,0.53125
73,3.578125
74,4.390625
75,8.40625
76,11.640625
77,64.25
78,6.0625
79,2.3125
80,1.703125
81,69.0625
82,82.390625
83,7.3125
84,3.25
85,0.953125
86,11.953125
87,31.328125
88,2.390625
89,1.328125
90,94.90625
91,45.703125
92,3.3125
93,13.90625
94,0.203125
95,3.8125
96,0.078125
97,2.140625
98,2.03125
99,32.5625
