,0
0,34.0625
1,198.5625
2,18.953125
3,125.515625
4,15.125
5,0.625
6,12.625
7,156.390625
8,549.453125
9,202.515625
10,19.5625
11,77.03125
12,50.40625
13,5.265625
14,213.015625
15,66.40625
16,62.65625
17,18.90625
18,24.453125
19,141.0625
20,19.015625
21,117.78125
22,150.765625
23,60.03125
24,37.65625
25,33.53125
26,104.40625
27,6.40625
28,9.03125
29,66.953125
30,5.828125
31,29.40625
32,75.265625
33,7.03125
34,162.625
35,72.78125
36,97.328125
37,30.640625
38,58.390625
39,333.203125
40,80.125
41,17.328125
42,165.90625
43,82.0
44,189.28125
45,165.640625
46,98.125
47,28.28125
48,79.765625
49,76.703125
50,76.953125
51,23.703125
52,90.15625
53,162.703125
54,27.078125
55,237.578125
56,26.265625
57,26.5625
58,166.28125
59,156.90625
60,43.515625
61,7.8125
62,393.125
63,16.140625
64,38.125
65,191.78125
66,76.578125
67,112.640625
68,91.90625
69,7.625
70,26.453125
71,1.953125
72,29.453125
73,123.640625
74,142.8125
75,195.390625
76,393.015625
77,37.15625
78,85.5625
79,99.078125
80,54.453125
81,351.015625
82,169.0625
83,139.15625
84,242.890625
85,24.78125
86,82.265625
87,417.25
88,28.40625
89,388.328125
90,33.640625
91,140.703125
92,67.515625
93,36.390625
94,180.78125
95,1.15625
96,69.328125
97,12.78125
98,221.0
99,337.578125
