,0
0,0.0625
1,0.15625
2,0.15625
3,0.0
4,0.03125
5,0.015625
6,0.015625
7,0.015625
8,0.0625
9,0.0
10,0.015625
11,0.015625
12,0.0
13,0.0
14,0.28125
15,0.015625
16,0.03125
17,0.203125
18,0.03125
19,0.03125
20,0.015625
21,0.015625
22,0.203125
23,0.0
24,0.265625
25,0.015625
26,0.03125
27,0.0625
28,0.0625
29,0.0
30,0.15625
31,0.015625
32,0.015625
33,0.0
34,0.0
35,0.0625
36,0.015625
37,0.078125
38,0.0625
39,0.0625
40,0.0
41,0.140625
42,0.0
43,0.015625
44,0.015625
45,0.015625
46,0.078125
47,0.015625
48,0.015625
49,0.015625
50,0.203125
51,0.0
52,0.0625
53,0.0625
54,0.015625
55,0.0
56,0.265625
57,0.03125
58,0.015625
59,0.015625
60,0.40625
61,0.015625
62,0.03125
63,0.015625
64,0.140625
65,0.140625
66,0.0625
67,0.015625
68,0.015625
69,0.0625
70,0.015625
71,0.140625
72,0.078125
73,0.15625
74,0.390625
75,0.015625
76,0.015625
77,0.125
78,0.015625
79,0.078125
80,0.03125
81,0.0
82,0.015625
83,0.0
84,0.15625
85,0.015625
86,0.078125
87,0.0
88,0.15625
89,0.140625
90,0.203125
91,1.015625
92,0.015625
93,0.0
94,0.3125
95,0.03125
96,0.0
97,0.03125
98,0.0625
99,0.0
