,0,1,2,3,4,5,6,7,8,9
0,437.4140625,437.4140625,437.4140625,437.4140625,437.4140625,437.4140625,437.4140625,437.4140625,437.4140625,437.4140625
1,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0
2,179.9140625,179.9140625,179.9140625,179.9140625,179.9140625,179.9140625,179.9140625,179.9140625,179.9140625,179.9140625
3,60.03125,60.03125,60.03125,60.03125,60.03125,60.03125,60.03125,60.03125,60.03125,60.03125
4,137.125,137.125,137.125,137.125,137.125,137.125,137.125,137.125,137.125,137.125
5,21.78125,21.78125,21.78125,21.78125,21.78125,21.78125,21.78125,21.78125,21.78125,21.78125
6,0.4140625,0.4140625,0.4140625,0.4140625,0.4140625,0.4140625,0.4140625,0.4140625,0.4140625,0.4140625
7,2.03125,2.03125,2.03125,2.03125,2.03125,2.03125,2.03125,2.03125,2.03125,2.03125
8,31.7890625,31.7890625,31.7890625,31.7890625,31.7890625,31.7890625,31.7890625,31.7890625,31.7890625,31.7890625
9,1.515625,1.515625,1.515625,1.515625,1.515625,1.515625,1.515625,1.515625,1.515625,1.515625
10,14.03125,14.03125,14.03125,14.03125,14.03125,14.03125,14.03125,14.03125,14.03125,14.03125
11,55.5390625,55.5390625,55.5390625,55.5390625,55.5390625,55.5390625,55.5390625,55.5390625,55.5390625,55.5390625
12,2.3828125,2.3828125,2.3828125,2.3828125,2.3828125,2.3828125,2.3828125,2.3828125,2.3828125,2.3828125
13,117.5703125,117.5703125,117.5703125,117.5703125,117.5703125,117.5703125,117.5703125,117.5703125,117.5703125,117.5703125
14,8.28125,8.28125,8.28125,8.28125,8.28125,8.28125,8.28125,8.28125,8.28125,8.28125
15,145.5390625,145.5390625,145.5390625,145.5390625,145.5390625,145.5390625,145.5390625,145.5390625,145.5390625,145.5390625
16,42.390625,42.390625,42.390625,42.390625,42.390625,42.390625,42.390625,42.390625,42.390625,42.390625
17,132.8125,132.8125,132.8125,132.8125,132.8125,132.8125,132.8125,132.8125,132.8125,132.8125
18,12.0078125,12.0078125,12.0078125,12.0078125,12.0078125,12.0078125,12.0078125,12.0078125,12.0078125,12.0078125
19,5.625,5.625,5.625,5.625,5.625,5.625,5.625,5.625,5.625,5.625
20,12.453125,12.453125,12.453125,12.453125,12.453125,12.453125,12.453125,12.453125,12.453125,12.453125
21,0.53125,0.53125,0.53125,0.53125,0.53125,0.53125,0.53125,0.53125,0.53125,0.53125
22,21.5078125,21.5078125,21.5078125,21.5078125,21.5078125,21.5078125,21.5078125,21.5078125,21.5078125,21.5078125
23,138.8125,138.8125,138.8125,138.8125,138.8125,138.8125,138.8125,138.8125,138.8125,138.8125
24,89.7265625,89.7265625,89.7265625,89.7265625,89.7265625,89.7265625,89.7265625,89.7265625,89.7265625,89.7265625
25,29.3515625,29.3515625,29.3515625,29.3515625,29.3515625,29.3515625,29.3515625,29.3515625,29.3515625,29.3515625
26,152.7265625,152.7265625,152.7265625,152.7265625,152.7265625,152.7265625,152.7265625,152.7265625,152.7265625,152.7265625
27,109.439453125,86.140625,86.140625,86.140625,86.140625,86.140625,86.140625,86.140625,86.140625,86.140625
28,11.3515625,11.3515625,11.3515625,11.3515625,11.3515625,11.3515625,11.3515625,11.3515625,11.3515625,11.3515625
29,4.28125,4.28125,4.28125,4.28125,4.28125,4.28125,4.28125,4.28125,4.28125,4.28125
30,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5
31,48.203125,48.203125,48.203125,48.203125,48.203125,48.203125,48.203125,48.203125,48.203125,48.203125
32,14.625,14.625,14.625,14.625,14.625,14.625,14.625,14.625,14.625,14.625
33,5.3515625,5.3515625,5.3515625,5.3515625,5.3515625,5.3515625,5.3515625,5.3515625,5.3515625,5.3515625
34,128.828125,128.828125,128.828125,128.828125,128.828125,128.828125,128.828125,128.828125,128.828125,128.828125
35,32.9453125,32.9453125,32.9453125,32.9453125,32.9453125,32.9453125,32.9453125,32.9453125,32.9453125,32.9453125
36,5.1015625,5.1015625,5.1015625,5.1015625,5.1015625,5.1015625,5.1015625,5.1015625,5.1015625,5.1015625
37,2.5390625,2.5390625,2.5390625,2.5390625,2.5390625,2.5390625,2.5390625,2.5390625,2.5390625,2.5390625
38,214.28125,214.28125,214.28125,214.28125,214.28125,214.28125,214.28125,214.28125,214.28125,214.28125
39,12.078125,12.078125,12.078125,12.078125,12.078125,12.078125,12.078125,12.078125,12.078125,12.078125
40,121.6953125,121.6953125,121.6953125,121.6953125,121.6953125,121.6953125,121.6953125,121.6953125,121.6953125,121.6953125
41,5.3125,5.3125,5.3125,5.3125,5.3125,5.3125,5.3125,5.3125,5.3125,5.3125
42,84.8515625,84.8515625,84.8515625,84.8515625,84.8515625,84.8515625,84.8515625,84.8515625,84.8515625,84.8515625
43,154.94375,154.94375,154.94375,154.94375,154.94375,51.453125,51.453125,51.453125,51.453125,51.453125
44,157.9765625,157.9765625,157.9765625,157.9765625,157.9765625,157.9765625,157.9765625,157.9765625,157.9765625,157.9765625
45,74.53125,74.53125,74.53125,74.53125,74.53125,74.53125,74.53125,74.53125,74.53125,74.53125
46,38.6640625,38.6640625,38.6640625,38.6640625,38.6640625,38.6640625,38.6640625,38.6640625,38.6640625,38.6640625
47,18.453125,18.453125,18.453125,18.453125,18.453125,18.453125,18.453125,18.453125,18.453125,18.453125
48,9.1015625,9.1015625,9.1015625,9.1015625,9.1015625,9.1015625,9.1015625,9.1015625,9.1015625,9.1015625
49,44.7265625,44.7265625,44.7265625,44.7265625,44.7265625,44.7265625,44.7265625,44.7265625,44.7265625,44.7265625
50,51.2890625,51.2890625,51.2890625,51.2890625,51.2890625,51.2890625,51.2890625,51.2890625,51.2890625,51.2890625
51,3.765625,3.765625,3.765625,3.765625,3.765625,3.765625,3.765625,3.765625,3.765625,3.765625
52,35.7890625,35.7890625,35.7890625,35.7890625,35.7890625,35.7890625,35.7890625,35.7890625,35.7890625,35.7890625
53,26.328125,26.328125,26.328125,26.328125,26.328125,26.328125,26.328125,26.328125,26.328125,26.328125
54,15.015625,15.015625,15.015625,15.015625,15.015625,15.015625,15.015625,15.015625,15.015625,15.015625
55,18.6328125,18.6328125,18.6328125,18.6328125,18.6328125,18.6328125,18.6328125,18.6328125,18.6328125,18.6328125
56,102.53125,102.53125,102.53125,102.53125,102.53125,102.53125,102.53125,102.53125,102.53125,102.53125
57,82.6953125,82.6953125,82.6953125,82.6953125,82.6953125,82.6953125,82.6953125,82.6953125,82.6953125,82.6953125
58,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5
59,142.64390625,142.64390625,142.64390625,142.64390625,142.64390625,142.64390625,142.64390625,142.64390625,142.64390625,142.64390625
60,20.1640625,20.1640625,20.1640625,20.1640625,20.1640625,20.1640625,20.1640625,20.1640625,20.1640625,20.1640625
61,10.125,10.125,10.125,10.125,10.125,10.125,10.125,10.125,10.125,10.125
62,37.53125,37.53125,37.53125,37.53125,37.53125,37.53125,37.53125,37.53125,37.53125,37.53125
63,110.6328125,110.6328125,110.6328125,110.6328125,110.6328125,110.6328125,110.6328125,110.6328125,110.6328125,110.6328125
64,56.640625,56.640625,56.640625,56.640625,56.640625,56.640625,56.640625,56.640625,56.640625,56.640625
