,0
0,41.703125
1,314.40625
2,27.953125
3,360.625
4,166.28125
5,344.5625
6,74.28125
7,49.0625
8,28.0625
9,55.65625
10,378.90625
11,238.28125
12,140.5625
13,214.953125
14,22.578125
15,698.515625
16,261.03125
17,6.203125
18,67.515625
19,130.5
20,33.765625
21,147.015625
22,80.515625
23,13.15625
24,89.5625
25,1.28125
26,60.390625
27,29.25
28,179.640625
29,226.5625
30,13.328125
31,2.265625
32,242.65625
33,322.453125
34,165.390625
35,34.8125
36,72.265625
37,298.828125
38,14.40625
39,174.078125
40,58.203125
41,12.65625
42,29.140625
43,210.640625
44,109.015625
45,15.015625
46,135.15625
47,76.578125
48,96.625
49,153.078125
50,18.25
51,259.203125
52,68.453125
53,12.625
54,11.03125
55,135.03125
56,422.5
57,314.03125
58,110.40625
59,110.5625
60,53.65625
61,221.640625
62,27.8125
63,25.453125
64,30.03125
65,10.25
66,2.890625
67,17.015625
68,185.328125
69,76.25
70,14.140625
71,20.3125
72,161.40625
73,111.578125
74,74.453125
75,155.125
76,7.15625
77,63.625
78,203.28125
79,97.953125
80,306.40625
81,22.5625
82,64.0625
83,25.390625
84,77.3125
85,15.3125
86,55.578125
87,86.0625
88,25.390625
89,130.203125
90,245.03125
91,69.15625
92,15.15625
93,53.40625
94,22.328125
95,67.640625
96,219.765625
97,67.515625
98,117.0625
99,97.3125
