,0
0,0.015625
1,0.125
2,0.03125
3,0.015625
4,0.015625
5,0.078125
6,0.0
7,0.25
8,0.015625
9,0.015625
10,0.0
11,0.03125
12,0.015625
13,0.0625
14,0.015625
15,0.015625
16,0.0
17,0.015625
18,0.15625
19,0.0
20,0.015625
21,0.140625
22,0.0
23,0.0
24,0.015625
25,0.0
26,0.015625
27,0.0
28,0.0
29,0.0
30,0.0625
31,0.015625
32,0.015625
33,0.015625
34,0.078125
35,0.015625
36,0.0625
37,0.015625
38,0.015625
39,0.015625
40,0.0625
41,0.015625
42,0.0
43,0.015625
44,0.0
45,0.03125
46,0.125
47,0.0
48,0.0625
49,0.0
50,0.203125
51,0.0
52,0.03125
53,0.0
54,0.015625
55,0.03125
56,0.03125
57,0.03125
58,0.015625
59,0.015625
60,0.015625
61,0.0
62,0.03125
63,0.015625
64,0.0
65,0.0
66,0.0
67,0.0625
68,0.015625
69,0.0
70,0.0
71,0.015625
72,0.265625
73,0.015625
74,0.0625
75,0.078125
76,0.015625
77,0.140625
78,0.015625
79,0.078125
80,0.0
81,0.0
82,0.0
83,0.015625
84,0.140625
85,0.015625
86,0.0
87,0.0625
88,0.015625
89,0.015625
90,0.015625
91,0.15625
92,0.015625
93,0.15625
94,0.015625
95,0.0
96,0.015625
97,0.015625
98,0.015625
99,0.015625
