,0
0,0.03125
1,0.078125
2,0.0
3,0.03125
4,0.140625
5,0.015625
6,0.015625
7,0.0
8,0.0625
9,0.015625
10,0.015625
11,0.25
12,0.0
13,0.0
14,0.25
15,0.0
16,0.265625
17,0.015625
18,0.03125
19,0.0
20,0.078125
21,0.0
22,0.015625
23,0.03125
24,0.0
25,0.0625
26,0.015625
27,0.03125
28,0.0625
29,0.0
30,0.0
31,0.0
32,0.078125
33,0.078125
34,0.015625
35,0.03125
36,0.140625
37,0.0625
38,0.015625
39,0.015625
40,0.03125
41,0.0
42,0.0
43,0.28125
44,0.015625
45,0.0
46,0.015625
47,0.15625
48,0.015625
49,0.0
50,0.0
51,0.25
52,0.0
53,0.015625
54,0.0625
55,0.015625
56,0.0
57,0.0
58,0.0
59,0.015625
60,0.0
61,0.03125
62,0.0625
63,0.015625
64,0.015625
65,0.0
66,0.0625
67,0.078125
68,0.0
69,0.140625
70,0.0625
71,0.015625
72,0.0
73,0.015625
74,0.015625
75,0.015625
76,0.015625
77,0.015625
78,0.125
79,0.015625
80,0.0
81,0.125
82,0.015625
83,0.03125
84,0.015625
85,0.015625
86,0.015625
87,0.078125
88,0.03125
89,0.015625
90,0.078125
91,0.0
92,0.015625
93,0.015625
94,0.015625
95,0.015625
96,0.0
97,0.0
98,0.03125
99,0.0
