,0
0,15.15625
1,0.03125
2,9.25
3,0.0
4,0.140625
5,0.640625
6,5.625
7,0.0
8,0.0
9,0.078125
10,0.015625
11,4.25
12,0.25
13,0.0
14,0.0
15,0.0625
16,0.390625
17,0.15625
18,13.203125
19,0.578125
20,0.265625
21,0.015625
22,0.0
23,1.015625
24,0.125
25,0.0
26,0.0625
27,0.03125
28,0.15625
29,0.0625
30,3.015625
31,0.0
32,0.015625
33,0.0
34,0.0
35,0.953125
36,2.25
37,0.0
38,0.0625
39,0.5625
40,0.015625
41,0.203125
42,0.015625
43,0.0625
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0625
49,0.140625
50,0.0
51,0.0
52,0.125
53,0.03125
54,0.015625
55,0.640625
56,0.0
57,0.078125
58,0.015625
59,1.65625
60,0.0
61,2.03125
62,2.125
63,0.015625
64,0.0
65,2.78125
66,0.78125
67,0.078125
68,0.25
69,1.765625
70,0.0
71,1.28125
72,0.3125
73,0.078125
74,0.15625
75,0.0
76,0.078125
77,0.0625
78,0.0
79,0.015625
80,3.15625
81,0.0625
82,6.90625
83,0.015625
84,0.0
85,0.015625
86,0.5625
87,0.0625
88,0.0
89,0.03125
90,0.640625
91,0.140625
92,0.0625
93,0.140625
94,0.0625
95,0.140625
96,0.390625
97,0.0
98,0.578125
99,0.0
