,0,1,2,3,4,5,6,7,8,9
0,46.515625,46.515625,46.515625,46.515625,46.515625,46.515625,46.515625,46.515625,46.515625,46.515625
1,42.3125,42.3125,42.3125,42.3125,42.3125,42.3125,42.3125,42.3125,42.3125,42.3125
2,46.4140625,46.4140625,46.4140625,46.4140625,46.4140625,46.4140625,46.4140625,46.4140625,46.4140625,46.4140625
3,38.515625,38.515625,38.515625,38.515625,38.515625,38.515625,38.515625,38.515625,38.515625,38.515625
4,25.2578125,25.2578125,25.2578125,25.2578125,25.2578125,25.2578125,25.2578125,25.2578125,25.2578125,25.2578125
5,507.66812500000003,114.6640625,114.6640625,114.6640625,114.6640625,114.6640625,114.6640625,114.6640625,114.6640625,114.6640625
6,1.1328125,1.1328125,1.1328125,1.1328125,1.1328125,1.1328125,1.1328125,1.1328125,1.1328125,1.1328125
7,150.078125,150.078125,150.078125,150.078125,150.078125,150.078125,150.078125,150.078125,150.078125,150.078125
8,85.515625,85.515625,85.515625,85.515625,85.515625,85.515625,85.515625,85.515625,85.515625,85.515625
9,59.4140625,59.4140625,59.4140625,59.4140625,59.4140625,59.4140625,59.4140625,59.4140625,59.4140625,59.4140625
10,192.578125,192.578125,192.578125,192.578125,192.578125,192.578125,192.578125,192.578125,192.578125,192.578125
11,19.125,19.125,19.125,19.125,19.125,19.125,19.125,19.125,19.125,19.125
12,40.0390625,40.0390625,40.0390625,40.0390625,40.0390625,40.0390625,40.0390625,40.0390625,40.0390625,40.0390625
13,14.6640625,14.6640625,14.6640625,14.6640625,14.6640625,14.6640625,14.6640625,14.6640625,14.6640625,14.6640625
14,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0
15,159.7578125,159.7578125,159.7578125,159.7578125,159.7578125,159.7578125,159.7578125,159.7578125,159.7578125,159.7578125
16,34.703125,34.703125,34.703125,34.703125,34.703125,34.703125,34.703125,34.703125,34.703125,34.703125
17,65.6640625,65.6640625,65.6640625,65.6640625,65.6640625,65.6640625,65.6640625,65.6640625,65.6640625,65.6640625
18,40.3203125,40.3203125,40.3203125,40.3203125,40.3203125,40.3203125,40.3203125,40.3203125,40.3203125,40.3203125
19,16.8203125,16.8203125,16.8203125,16.8203125,16.8203125,16.8203125,16.8203125,16.8203125,16.8203125,16.8203125
20,87.9765625,87.9765625,87.9765625,87.9765625,87.9765625,87.9765625,87.9765625,87.9765625,87.9765625,87.9765625
21,129.6953125,129.6953125,129.6953125,129.6953125,129.6953125,129.6953125,129.6953125,129.6953125,129.6953125,129.6953125
22,78.4140625,78.4140625,78.4140625,78.4140625,78.4140625,78.4140625,78.4140625,78.4140625,78.4140625,78.4140625
23,43.15625,43.15625,43.15625,43.15625,43.15625,43.15625,43.15625,43.15625,43.15625,43.15625
24,74.4765625,74.4765625,74.4765625,74.4765625,74.4765625,74.4765625,74.4765625,74.4765625,74.4765625,74.4765625
25,327.6953125,327.6953125,327.6953125,327.6953125,327.6953125,327.6953125,327.6953125,327.6953125,327.6953125,327.6953125
26,1.90625,1.90625,1.90625,1.90625,1.90625,1.90625,1.90625,1.90625,1.90625,1.90625
27,107.8203125,107.8203125,107.8203125,107.8203125,107.8203125,107.8203125,107.8203125,107.8203125,107.8203125,107.8203125
28,238.0625,238.0625,238.0625,238.0625,238.0625,238.0625,238.0625,238.0625,238.0625,238.0625
29,367.7065625,356.770625,356.770625,356.770625,356.770625,356.770625,356.770625,356.770625,356.770625,354.5834375
30,108.25,108.25,108.25,108.25,108.25,108.25,108.25,108.25,108.25,108.25
31,72.578125,72.578125,72.578125,72.578125,72.578125,72.578125,72.578125,72.578125,72.578125,72.578125
32,3.15625,3.15625,3.15625,3.15625,3.15625,3.15625,3.15625,3.15625,3.15625,3.15625
33,18.25,18.25,18.25,18.25,18.25,18.25,18.25,18.25,18.25,18.25
34,25.453125,25.453125,25.453125,25.453125,25.453125,25.453125,25.453125,25.453125,25.453125,25.453125
35,51.53125,51.53125,51.53125,51.53125,51.53125,51.53125,51.53125,51.53125,51.53125,51.53125
36,28.25,28.25,28.25,28.25,28.25,28.25,28.25,28.25,28.25,28.25
37,75.15625,75.15625,75.15625,75.15625,75.15625,75.15625,75.15625,75.15625,75.15625,75.15625
38,147.265625,147.265625,147.265625,147.265625,147.265625,147.265625,147.265625,147.265625,147.265625,147.265625
